ut,mean_altitude,surf_speed,g_force,aoa,aerodynamic_force,dynamic_pressure,highest_skin_temp,highest_skin_temp_part,critical_skin_temp,critical_skin_temp_part,ablator,atmosphere_density,mass,dry_mass,thurst
28692719.950686336,1817.8703837377252,1082134.2267012463,1.6938835382461548,1.6655769348144531,21025.920388594797,12.512480735778809,395.37548744225296,"parachuteRadial",342.749813189905,"sensorGravimeter",0.0,5.564465045928955,1265.75,1265.75,0.0
28692720.990686312,1815.6554599353112,1082134.0576156906,1.6874620914459229,1.6985160112380981,20970.322780476996,12.82616901397705,395.4368350594138,"parachuteRadial",343.4495278043586,"sensorGravimeter",0.0,5.5652666091918945,1265.75,1265.75,0.0
28692722.03068629,1813.3956565506523,1082133.9422483048,1.694104790687561,1.6406229734420776,21001.012459375786,12.464680671691895,395.4979041167501,"parachuteRadial",344.09446327292545,"sensorGravimeter",0.0,5.566069602966309,1265.75,1265.75,0.0
28692723.070686266,1811.1804305611877,1082133.7752189194,1.6899405717849731,1.7025419473648071,21008.344156336796,12.744138717651367,395.5585123838644,"parachuteRadial",344.69543034933105,"sensorGravimeter",0.0,5.56687068939209,1265.75,1265.75,0.0
28692724.110686243,1809.0087958405493,1082133.6490984927,1.6930793523788452,1.628499150276184,20996.658078685952,12.52193832397461,395.6187678260428,"parachuteRadial",345.2730530245872,"sensorGravimeter",0.0,5.567672252655029,1265.75,1265.75,0.0
28692725.15068622,1806.7933735289844,1082133.5077093171,1.6972804069519043,1.7148735523223877,21754.9925002031,12.252484321594238,395.67861301457623,"parachuteRadial",345.83170693521924,"sensorGravimeter",0.0,5.568474292755127,1265.75,1265.75,0.0
28692726.190686196,1804.6107523029204,1082133.3822239898,1.692470908164978,1.6113125085830688,21004.817860627983,12.2486572265625,395.7381337197458,"parachuteRadial",346.3540365562399,"sensorGravimeter",0.0,5.5692644119262695,1265.75,1265.75,0.0
28692727.250686172,1802.37971385126,1082133.2237261347,1.6913129091262817,1.665671467781067,21030.875746876263,12.390639305114746,395.7970823194568,"parachuteRadial",346.8754052506819,"sensorGravimeter",0.0,5.570056915283203,1265.75,1265.75,0.0
28692728.29068615,1800.1844960539602,1082133.0599912433,1.6778582334518433,-0.4116979241371155,20909.684035683153,12.800249099731445,395.855378942038,"parachuteRadial",347.40431202347963,"sensorGravimeter",0.0,5.570851802825928,1265.75,1265.75,0.0
28692729.330686126,1797.9243066785857,1082132.865956004,1.6933131217956543,-0.2053116410970688,21059.2159513383,13.232949256896973,395.9128758338706,"parachuteRadial",347.9614842648613,"sensorGravimeter",0.0,5.571669578552246,1265.75,1265.75,0.0
28692730.350686103,1795.7108507213416,1082132.7401396697,1.692203164100647,-0.15107563138008118,20973.652038924734,13.063153266906738,395.9712808465341,"parachuteRadial",348.48104032346055,"sensorGravimeter",0.0,5.5724873542785645,1265.75,1265.75,0.0
28692731.39068608,1793.4521850202,1082132.5931277408,1.6933313608169556,-0.22644829750061035,20996.325194665664,13.09643268585205,396.02945774578757,"parachuteRadial",348.99196166942653,"sensorGravimeter",0.0,5.573305606842041,1265.75,1265.75,0.0
28692732.430686057,1791.1893561694305,1082132.442235105,1.6930357217788696,-0.1239999532699585,21032.58129523057,13.182114601135254,396.0871741159182,"parachuteRadial",349.4911003771304,"sensorGravimeter",0.0,5.5741095542907715,1265.75,1265.75,0.0
28692733.470686033,1788.9368771999143,1082132.3043429076,1.6900116205215454,-0.19124601781368256,20967.284869565192,13.095588684082031,396.1444846805767,"parachuteRadial",349.9707994989526,"sensorGravimeter",0.0,5.574925899505615,1265.75,1265.75,0.0
28692734.51068601,1786.6829904430779,1082132.1599966532,1.6907552480697632,-0.19665536284446716,20958.659465114673,13.098669052124023,396.2013496537084,"parachuteRadial",350.44338225016514,"sensorGravimeter",0.0,5.57575798034668,1265.75,1265.75,0.0
28692735.550685987,1784.423089214135,1082132.0132294903,1.6924432516098022,-0.15820175409317017,20985.441299566497,13.135847091674805,396.25782893310395,"parachuteRadial",350.9125210425146,"sensorGravimeter",0.0,5.5765767097473145,1265.75,1265.75,0.0
28692736.570685964,1782.2089644344524,1082131.8728264319,1.6920863389968872,-0.2192620486021042,20991.91495541752,13.112222671508789,396.3128695385922,"parachuteRadial",351.36268266823265,"sensorGravimeter",0.0,5.57737922668457,1265.75,1265.75,0.0
28692737.61068594,1779.9520142584806,1082131.7277588954,1.6918424367904663,-0.16832572221755981,20984.055889483385,13.1267671585083,396.36858051809315,"parachuteRadial",351.81383793009763,"sensorGravimeter",0.0,5.578197479248047,1265.75,1265.75,0.0
28692738.650685918,1777.6930837016553,1082131.5845699394,1.69326913356781,-0.16387927532196045,21021.373527877116,13.10551929473877,396.42391238632877,"parachuteRadial",352.25967316381696,"sensorGravimeter",0.0,5.579015731811523,1265.75,1265.75,0.0
